DATE,GASREGW,PNFI,TERMCBPER24NS,MORTGAGE30US,CSUSHPINSA,GASPRICE,PSAVERT,DSPI,RSXFS,HOUST,SP500,PCEDG,UNRATE,,,
1/1/1947,,24.82,,,,,,,,,,,,,,1
4/1/1947,,25.17,,,,,,,,,,,,,,
7/1/1947,,25.36,,,,,,,,,,,,,,
10/1/1947,,26.54,,,,,,,,,,,,,,
1/1/1948,,28.23,,,,,,,,,,,3.40,,,
2/1/1948,,,,,,,,,,,,,3.80,,,
3/1/1948,,,,,,,,,,,,,4.00,,,
4/1/1948,,28.05,,,,,,,,,,,3.90,,,
5/1/1948,,,,,,,,,,,,,3.50,,,
6/1/1948,,,,,,,,,,,,,3.60,,,
7/1/1948,,29.08,,,,,,,,,,,3.60,,,
8/1/1948,,,,,,,,,,,,,3.90,,,
9/1/1948,,,,,,,,,,,,,3.80,,,
10/1/1948,,30.16,,,,,,,,,,,3.70,,,
11/1/1948,,,,,,,,,,,,,3.80,,,
12/1/1948,,,,,,,,,,,,,4.00,,,
1/1/1949,,28.58,,,,,,,,,,,4.30,,,
2/1/1949,,,,,,,,,,,,,4.70,,,
3/1/1949,,,,,,,,,,,,,5.00,,,
4/1/1949,,27.48,,,,,,,,,,,5.30,,,
5/1/1949,,,,,,,,,,,,,6.10,,,
6/1/1949,,,,,,,,,,,,,6.20,,,
7/1/1949,,26.11,,,,,,,,,,,6.70,,,
8/1/1949,,,,,,,,,,,,,6.80,,,
9/1/1949,,,,,,,,,,,,,6.60,,,
10/1/1949,,25.63,,,,,,,,,,,7.90,,,
11/1/1949,,,,,,,,,,,,,6.40,,,
12/1/1949,,,,,,,,,,,,,6.60,,,
1/1/1950,,26.39,,,,,,,,,,,6.50,,,
2/1/1950,,,,,,,,,,,,,6.40,,,
3/1/1950,,,,,,,,,,,,,6.30,,,
4/1/1950,,28.86,,,,,,,,,,,5.80,,,
5/1/1950,,,,,,,,,,,,,5.50,,,
6/1/1950,,,,,,,,,,,,,5.40,,,
7/1/1950,,31.91,,,,,,,,,,,5.00,,,
8/1/1950,,,,,,,,,,,,,4.50,,,
9/1/1950,,,,,,,,,,,,,4.40,,,
10/1/1950,,32.92,,,,,,,,,,,4.20,,,
11/1/1950,,,,,,,,,,,,,4.20,,,
12/1/1950,,,,,,,,,,,,,4.30,,,
1/1/1951,,33.14,,,,,,,,,,,3.70,,,
2/1/1951,,,,,,,,,,,,,3.40,,,
3/1/1951,,,,,,,,,,,,,3.40,,,
4/1/1951,,34.12,,,,,,,,,,,3.10,,,
5/1/1951,,,,,,,,,,,,,3.00,,,
6/1/1951,,,,,,,,,,,,,3.20,,,
7/1/1951,,34.84,,,,,,,,,,,3.10,,,
8/1/1951,,,,,,,,,,,,,3.10,,,
9/1/1951,,,,,,,,,,,,,3.30,,,
10/1/1951,,34.64,,,,,,,,,,,3.50,,,
11/1/1951,,,,,,,,,,,,,3.50,,,
12/1/1951,,,,,,,,,,,,,3.10,,,
1/1/1952,,35.13,,,,,,,,,,,3.20,,,
2/1/1952,,,,,,,,,,,,,3.10,,,
3/1/1952,,,,,,,,,,,,,2.90,,,
4/1/1952,,35.77,,,,,,,,,,,2.90,,,
5/1/1952,,,,,,,,,,,,,3.00,,,
6/1/1952,,,,,,,,,,,,,3.00,,,
7/1/1952,,32.89,,,,,,,,,,,3.20,,,
8/1/1952,,,,,,,,,,,,,3.40,,,
